"taxonID","bibliographicCitation"
"ad-hoc-checklist:taxon:7a459fee00397a728aa28c82a8eee160","Lock, K. (2006) Belgian Thysanoptera in the collections of the royal belgian institute of natural sciences. Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie 142: 34-37"
"ad-hoc-checklist:taxon:7ad1f00dd7b46bd18099141e10297fb7","Janssen, M. 1996. Merkwaardige spinnenfauna op de mijnterril te Waterschei (Limburg, België). Likona Jaarboek, 1996:37-44."
"ad-hoc-checklist:taxon:7ae16b088cb788d9d9f00a8877280a4e","Lock, K. (2016) Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie, 152 (2016): 22-24"
"ad-hoc-checklist:taxon:7c10a87da5464b41b741a7af47552f77","Jelinek J et al. (2016) Epuraea imperialis (Reitter, 1877). New invasive species of Nitidulidae (Coleoptera) in Europe, with a checklist of sap beetles introduced to Europe and Mediterranean areas. AAPP "
"ad-hoc-checklist:taxon:7c10a87da5464b41b741a7af47552f77"," Physical, Mathematical, and Natural Sciences, 94(2): 1-24. https://doi.org/10.1478/AAPP.942A4"
"ad-hoc-checklist:taxon:7e3ad75a5d28187179e77211218b865d","Segers, H. 1986. Uloborus plumipes Lucas, nieuw voor de Belgische fauna. Nieuwsbrief van de Belgische Arachnologische Vereniging, 1(1):18-19."
"ad-hoc-checklist:taxon:7f11de4c8fdb0b64c7d7d27b0c6dc2a7","Van den Berge Zoogdier http://www.zoogdierwinkel.nl/sites/default/files/imce/nieuwesite/Winkel/pdf%20download/Zoogdier_Jaargang_19_2_2008_JUN_0.pdf"
"ad-hoc-checklist:taxon:82ec35970da932c0c92da5c99ed64fa8","Van den Heuvel, R. 1988. Rhyzobius lophantae (Blaisdell), een nieuwe soort voor de Belgische fauna of een toevallig ingevoerd exemplaar ? (Coleoptera: Coccinellidae). Phegea 16:102."
"ad-hoc-checklist:taxon:832909467fcede813c0eda7fbf70f07e","ARABEL exotendatabank (10/08/2018)"
"ad-hoc-checklist:taxon:84f26320056083df9950852e2d8c1c0b","paper Tim De Floris; Troukens W 1991. Cacyreus marshalli Butler, 1898 aangetroffen in België (Lepidoptera: Lycaenidae). — Phegea 19: 129–131."
"ad-hoc-checklist:taxon:878b8b6d2e6690a8e3821f5cd78f328a","Lock K (2010) Updated checklist of the Belgian centipedes (Chilopoda). Entomologie faunistique-Faunistic Entomology. 62 (1), 35-39"
"ad-hoc-checklist:taxon:87a18ac95d68ccbd4eb2ca9b1e25f075","http://www.bladmineerders.be/nl/content/macrosaccus-robiniella-clemens-1859"
"ad-hoc-checklist:taxon:8b094ef3e77371b420c1549a81fdba10","De Blauwe, H.; Faasse, M. (2001). Extension of the range of the Bryozoans Tricellaria inopinata and Bugula simplex in the north-east Atlantic ocean (Bryozoa: Cheilostomatida) Ned. Faunist. Meded. 14: 103-112"
"ad-hoc-checklist:taxon:906ca7e6f45a2b207c58622f6d9b69e3","Van den Neucker T, Schildermans T, Scheers K. 2017. The invasive Chinese mystery snail Bellamya chinensis (Gastropoda: Viviparidae) expands its European range to Belgium. Knowl. Manag. Aquat. Ecosyst., 418, 8. DOI: 10.1051/kmae/2016040"
"ad-hoc-checklist:taxon:91822ad298e6219b5f885cfbc20efabe","Dekoninck W, Ignace D & Wegnez P, 2010. Records of a new pest ant species in Belgium, Technomyrmex vitiensis Mann, 1921. Bulletin S.R.B.E./K.B.V.E., 146: 83-90."
"ad-hoc-checklist:taxon:92fb0d3a683ca7f8bbc4767c829740c0","Adriaens et al. Biol Invasions  10.1007/s10530-015-0898-z"
"ad-hoc-checklist:taxon:947d397f145aa9e5bc8a873060204dea","Kekenbosch, R. & Baert, L. 2013. Découverte d’Erigone dentosa (O.P.- Cambridge, 1894) (Araneae: Linyphiidae, Erigoninae) en Belgique. Nieuwsbrief van de Belgische Arachnologische Vereniging, 28(1,2): 32-34."
"ad-hoc-checklist:taxon:956c4d4fc4ba0489ba6d8e1fca72179d","ARABEL exotendatabank (10/08/2018)"
"ad-hoc-checklist:taxon:975d566036e4f83b7e0ccbb855e19183","Van Keer, K. & Van Keer, J. 2003. In België aangetroffen exoten (Araneae) uit de collectie J. Van Keer. Nieuwsbrief van de Belgische Arachnologische Vereniging, 18(2-3):78-83."
"ad-hoc-checklist:taxon:98d9b43b919f620115dc607730389ac9","Aukema, B., Bruers, J., & Viskens, G. (2007). Nieuwe en zeldzame Belgische wantsen II (Hemiptera: Heteroptera). Bulletin de la Société Royale Belge d'Entomologie= Bulletin van de Koninklijke Belgische Vereniging voor Entomologie, 143, 83-91."
"ad-hoc-checklist:taxon:99b034cdf7b8db76ae306bb17c84eb9f","Alderweireldt, M. 1996. Evarcha jucunda (Lucas), nieuw voor de Belgische fauna (Araneae: Salticidae): introductie, zwerver of noordwaartse areaalsuitbreiding. Nieuwsbrief van de Belgische Arachnologische Vereniging, 11(3):79-80."
"ad-hoc-checklist:taxon:9a83ca9aca6a69fa520d18e7267ad5a7","https://www.natuurpunt.be/nieuws/spoorkrekel-duikt-voor-het-eerst-op-belgi%C3%AB-20180830?utm_medium=email&utm_campaign=Natuurbericht%20-%20Spoorkrekel%20duikt%20voor%20het%20eerst%20op%20in%20Belgi&utm_content=Natuurbericht%20-%20Spoorkrekel%20duikt%20voor%20het%20eerst%20op%20in%20Belgi+CID_bfb57338bc9df25b88bded0f49fb7f52&utm_source=Campaign%20Monitor&utm_term=Spoorkrekels%20komen%20vooral%20voor%20in%20Zuid-Europa%20en%20worden%20de%20afgelopen%20jaren%20almaar%20noordelijker%20gevonden%20zegt%20ontdekker%20Laurent%20Van%20den%20Bergh%20van%20Natuurpunt"
"ad-hoc-checklist:taxon:9c1d6381c9909b0faab09d96df4545d0","De Smedt P, Arijs G, Segers S, Boeraeve P (2017) Woodlice of the green houses at Ghent Botanical Garden and Botanic Garden Meise with two new exotic species for Belgium (Isopoda: Oniscidae). Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie, 153: 109-112."
"ad-hoc-checklist:taxon:9d2a97512205c817d49c843a70ec07de","Lock, K. (2006) Belgian Thysanoptera in the collections of the royal belgian institute of natural sciences. Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie 142: 34-37"
"ad-hoc-checklist:taxon:9d707dcb305def3bb6e7190d50859c28","Fraiture A, Di Giangregorio M (2013) Amanita inopinata, its ecology and expansion in Europe. Cryptogamie, Mycology 34: 211-222. https://doi.org/10.7872/crym.v34.iss2.2013.211"
"ad-hoc-checklist:taxon:9dba82e47ca10d793d6b657d9da92329","Van den Berge Zoogdier http://www.zoogdierwinkel.nl/sites/default/files/imce/nieuwesite/Winkel/pdf%20download/Zoogdier_Jaargang_19_2_2008_JUN_0.pdf"
"ad-hoc-checklist:taxon:9f17cf58e532736b38298bc8b0f4cde6","Kekenbosch, J. Bosmans, R. & Baert, L. 1977. Soortenlijst der Belgische spinnen. Studiedocumenten van het Koninklijk Belgische Instituut voor Natuurwetenschappen, 11:1-36."
"ad-hoc-checklist:taxon:a1a77adf993c161c8d236971ada4034e","unpubl. observation"
"ad-hoc-checklist:taxon:a5574333e75b19daa52075893943ce68","Jan Soors"
"ad-hoc-checklist:taxon:a63f0128a224c6ca04e1a2e577ee53ce","Lock, K. (2006) Belgian Thysanoptera in the collections of the royal belgian institute of natural sciences. Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie 142: 34-37"
"ad-hoc-checklist:taxon:a6d5baef654883371c71141f1762a85d","Stieperaere & Jacques 1995"
"ad-hoc-checklist:taxon:a9592655784ba65bdc3369e1de7850cb","unpubl. data"
"ad-hoc-checklist:taxon:aa1a0c63ab8f14140a399b8b3d1f80e5","ARABEL exotendatabank (10/08/2018)"
